Beach Name,Description,Region (Guanacaste. Puntarenas. Limon),"Wave Quality 
(1-5)",Experience (All. Experienced. Pros),Surf Spot Type,Tourist Density (Low. Medium. Crowded),Accomodations (None. Limited. Good),Surfable Tide,,,,,,,,
Avellanas Rivermouth,This rockbottom right is best surfed in the the morning,Guanacaste,3,All,Point-break,Medium,None,Low tide,,,,,,,,
Playa Avellanas,Premier surf destination. 15 minutes from tamarindo. Make sure you pet the beach's giant pig while you are there,Guanacaste,4,Experienced,Beach break,Medium,None,Mid and high Tide,,,,,,,,
Backwash,Backwash in Golfo Dulce is a quite exposed point break with good surf.,Guanacaste,3,Experienced,Sand bar,Medium,None,Low Tide,,,,,,,,
Bejuco Puntarenas,South of Jaco. Bejuco offers consistent surf without atracting a big crowd,Puntarenas,3,Experienced,Beach break,Low,None,Mid and high Tide,,,,,,,,
Boca Barranca,Boca Barranca is one of the longest lefts in the world. It can be packed with locals. Longboarders. and day trippers from Jaco,Puntarenas,4,All,Point-break,Crowded,Good,Low and Mid Tide,,,,,,,,
Cabuyal,Secluded beach in the papagayo gulf. near the Four Seasons. You have to have a 4 wheel drive to get to this beach. Only the the truly adventurous dare visit,Guanacaste,3,Experienced,Beach break,Low,None,Mid and high Tide,,,,,,,,
Cahuita,Cahuita's Playa Negra is a small. dark sand beach about an hour drive south of Limon. The waves break on sand. and generally are small and easy for beginners,Limon,2,All,Beach break,Low,Good,All,,,,,,,,
Caldera,Caldera has wedging barrels and pounding closeout sections. The rights are short and tubes dark with dirty water and sand dredged up from the swell. Breaks best at head high to two feet overhead. Lots of bodyboarders and mostly all locals so give respect.,Puntarenas,2,All,Breakwater,Medium,Good,Mid and high Tide,,,,,,,,
Callejones,Less than half a mile south from Playa Negra. a good option to avoid crowds,Guanacaste,3,All,Point-break,Low,None,Igulal que playa Negra,,,,,,,,
Camaronal,This small beach has no accomodations. but some of the biggest and baddest waves in the country.,Guanacaste,5,Experienced,Beach break,Low,None,All,,,,,,,,
Carrillo,Carrillo is a failry big beach very popluar with campers. It even has its own airport.,Guanacaste,2,Experienced,Beach break,Crowded,Limited,Mid and high tide,,,,,,,,
Cocles,Cocles is a nice beach on the caribbean side. Constant waves provide a great ride.,Limon,4,Experienced,Beach break,Low,Limited,Mid and high tide,,,,,,,,
Corralillo (Puntrenas),15-30 min south of Puntareanas (depending on road conditions/ season) 5-15 min south of boca barranca. Follow the road south towards Jaco. Turn right at Puerto Caldrera. Enter the Port(50/50 chance you'll have to walk form the entrance to the beach). When you reach the beach turn left and walk along the rocks until the beach ends.,Puntarenas,3,All,Point-Break,Low,Good,Low and Mid Tide,,,,,,,,
Dominical,Dominical is extremelly consitente. it is a small town in the southern pacific coast. It is more developed than most of the beaches in the area. However it is not as crowded as some of the beaches closer to San Jose,Puntarenas,3,Experienced,Beach break,Medium,Limited,Mid and high tide,,,,,,,,
Dominical Reef,Gets bigger than the Beach-Break. broken boards are not a rarity here.,Puntarenas,3,Experienced,Point-Break,Medium,Limited,Mid and high tide,,,,,,,,
Playa Escondida,Playa Escondida is located behind Los Suenos Resort. It has good constant waves. but its constantly visited by tourists from surrounding areas,Puntarenas,4,Experienced,Reef coral,Crowded,Limited,All,,,,,,,,
Esterillos Centro,A 2 km. stretch of beachbreaks. with a rivermouth at both ends. It breaks best at higher tides with a South southwest swell to give it some angle. Best size is chest high to a foot overhead. when it is bigger it will close out.,Puntarenas,2,All,Beach break,Medium,Limited,All,,,,,,,,
Esterillos Este,Surfers rarely come here. since the beachbreak only works towards high tide and then others spots will break better. Works best from chest to overhead and a south southwest swell. The Xandari Resort and Spa is located here. great for a secluded honeymoon surf trip.,Puntarenas,2,All,Beach break,Low,Limited,High tide,,,,,,,,
Esterillos Oeste,This one is the most popular with surfers since besides the beachbreak there is a rock shelf that extends several hundred meters off the beach. There is a big mermaid statue that sits above the water. marking where the shelf lie,Puntarenas,3,All,Beach break,Medium,Limited,All,,,,,,,,
Flamingo,Flamingo offers a decent left when conditions are right,Guanacaste,3,All,Point-break,Low,Good,All,,,,,,,,
Guiones,Great waves. fairly close to some of the most popular beaches of Samara and Nosara,Guanacaste,5,Experienced,Beach-brak,Medium,Limited,High and mid tide,,,,,,,,
